,pct_missing,nobs,r2,r2_adj,bic,r2_pred,mse_pred,mape_pred,const_ci_rng,const_estimate,const_in_target,const_true_beta,x1_ci_rng,x1_estimate,x1_in_target,x1_true_beta,x1:x2_ci_rng,x1:x2_estimate,x1:x2_in_target,x1:x2_true_beta,x2_ci_rng,x2_estimate,x2_in_target,x2_true_beta,action_type,beta_sigma,sample_size,beta_x2/beta_x1,beta_x1:x2/beta_x1,_beta_sigma,_sample_size,_beta_x2/beta_x1,_beta_x1:x2/beta_x1
0,0.0,20.0,0.9466061265993286,0.9365947753367028,62.753143080754775,0.946737333553771,0.5964085302093557,3.881574280828341,3.810474198492159,11.492435912794534,1,10,6.279868203338437,8.0009185230629,1,10,10.391291128328263,4.58277325868454,1,1,6.726262853971635,-1.6670573278619827,1,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
1,0.1,20.0,0.9446749353011443,0.9343014856701088,63.46374400694202,0.9254415666430964,0.8348678092936785,4.425601189223692,3.638649759902762,11.900520379958028,0,10,5.511349476663169,6.829393201830346,0,10,9.030569596527272,6.88221396667236,0,1,6.448010009962015,-2.437097563117362,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.8792156028612085,0.856568528397685,79.07936518756523,0.8046085443910651,2.1878951736829935,8.530658446653907,4.733175405957994,13.870691243135962,0,10,7.310951442427726,3.4365524892161385,0,10,9.690178423750494,13.262579948224555,0,1,7.366768531698287,-6.796595374703503,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.8776277774255302,0.8546829856928171,79.34057099101128,0.8294820550126794,1.9093741213064643,7.644044243264116,6.142258358196614,13.122192727143087,0,10,8.486817659668432,3.856939868726595,0,10,12.55807341253901,11.70898491707434,0,1,9.353482359474974,-5.048763714068258,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.8605066022229251,0.8343515901397236,81.95956834713293,0.7901873248102687,2.3493767319277756,8.342509036391057,7.137580118204516,13.812522808352348,0,10,9.081518922425149,2.4358094224881732,0,10,10.447465865498195,14.490183423492386,0,1,9.845484732693048,-6.134808763339294,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
5,0.5,20.0,0.8492803097277719,0.8210203678017292,83.50765801632389,0.7792780170990931,2.4715336687043523,7.840141197096549,8.172032495300133,15.355314823938587,0,10,10.342846117661326,0.17446147658137434,0,10,11.924866604229443,16.315843647065748,0,1,11.019665372275092,-7.696755361495054,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
6,0.6000000000000001,20.0,0.8529784728814651,0.8254119365467398,83.01080328036728,0.7658965560566406,2.6213725341775964,9.097241609473098,8.105546678996996,14.385603015054864,0,10,11.760907842341858,1.7712002433624512,0,10,8.578801877789896,15.86797836104733,0,1,8.452897000897725,-7.322106084275946,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
7,0.7000000000000001,20.0,0.898972414006937,0.8800297416332377,75.50709506341468,0.7798773313344023,2.464822849549716,9.507606118917142,4.778350131406725,13.012208440864939,0,10,6.509651099594436,4.309286695614134,0,10,7.28313374835151,14.042859292312478,0,1,7.141176569247712,-5.7734495642388115,0,1.0,mean,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
0,0.0,50.0,0.9148830982970381,0.9093319960120623,163.098778732483,0.8874234686160222,1.2019899117708934,6.25468432744474,3.1302791610989367,9.228659510704828,1,10,4.702974264296046,11.165024797221651,1,10,6.912316528568219,0.30777055135090237,1,1,4.282019636746755,1.2601832360684257,1,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
1,0.1,50.0,0.83688141328883,0.8262432445902754,195.62137055043252,0.8391685497500596,1.717212089583212,7.44072346208558,4.107431893302181,11.358408239689936,1,10,5.9827904347750795,7.529062916475359,1,10,8.2493455412787,6.115007276760581,0,1,5.196919317905275,-2.1447422147154245,0,1.0,mean,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
