ix,BAC,age,collection_date,drink_type,num_drinks,sex,units,volume_consumed,weight
0,0.057254381,1/7/66,2018-01-29T12:21:46.232643,Merlot,2.4,M,,12,177.82
1,0.152697021,8/19/68,2018-01-29T12:21:46.233977,Franziskaner Weissbier,4.6,F,metric,1634.553396,237.3309999
2,0.055648547,50,2018-01-29T12:21:46.234572,Wine,2.5,Male,,12.5,185.44
3,0.032883761,671,2018-01-29T12:21:46.235095,Wine,0.9,female,metric,134.6799262,265.0237427
4,0.030055655,4/2/60,2018-01-29T12:21:46.235582,Vin,1.7,meal,SI,253.6016324,315.3753633
5,0.028406917,9/14/74,2018-01-29T12:21:46.236121,whiskey,0.6,Female,metric,28.0872958,225.4100069
6,0.087807374,6/21/59,2018-01-29T12:21:46.236555,Warsteiner,2.6,femeal,,31.2,147.47
7,0.169315633,389,2018-01-29T12:21:46.236735,Wine,7,,,35,183.9
8,0.050857168,549,2018-01-29T12:21:46.236890,whiskey,2.7,,SI,118.5816183,308.0751986
9,0.055791317,35,2018-01-29T12:21:46.237053,Wine,2.1,meal,metric,310.6053601,259.8912404
10,0.184443571,336,2018-01-29T12:21:46.237227,Wine,5.4,F,,27,164.13
11,0.0444094,5/31/82,2018-01-29T12:21:46.237376,shots,1.4,Female,,2.1,187.39
12,0.082831324,8/5/62,2018-01-29T12:21:46.237552,Vino,2.3,femeal,,11.5,151.4
13,0.091234964,746,2018-01-29T12:21:46.237715,Franziskaner Weissbier,3.6,Male,,43.2,171.71
14,0.043404374,633,2018-01-29T12:21:46.237872,whiskey,2.4,male,,3.6,205.4
15,0.005654698,391,2018-01-29T12:21:46.238018,Vin,0.8,M,,4,225.7
16,0.200422627,351,2018-01-29T12:21:46.238163,Merlot,4.3,femeal,SI,636.3476776,182.073589
17,0.049563028,429,2018-01-29T12:21:46.238321,Merlot,1.4,female,,7,166.96
18,0.075756832,49,2018-01-29T12:21:46.238468,Scotch,3,M,metric,132.6072768,293.8405916
19,0.00172556,1/7/54,2018-01-29T12:21:46.238639,shots,0.4,female,metric,19.23258782,270.8893197
20,0.044437597,53,2018-01-29T12:21:46.238809,Scotch,1.4,Male,,2.1,167.31
21,0.01753721,388,2018-01-29T12:21:46.238991,Vin,0.8,M,SI,119.6879836,262.4743001
22,0.017515585,774,2018-01-29T12:21:46.239154,Warsteiner,0.4,Male,metric,140.5922884,280.8852551
23,0.080283961,709,2018-01-29T12:21:46.239312,Franziskaner Weissbier,2.1,Female,metric,746.3565524,218.8215423
24,0.062568435,584,2018-01-29T12:21:46.239470,IPA,3.1,Male,,37.2,231.97
25,0.016900217,709,2018-01-29T12:21:46.239616,Beer,0.8,,metric,284.7209481,247.8605356
26,0.01247185,531,2018-01-29T12:21:46.239774,Merlot,0.6,M,metric,90.67603816,271.4953438
27,0.053423747,460,2018-01-29T12:21:46.239930,vidka,1.3,femeal,metric,59.56360411,205.6294514
28,0.052981403,489,2018-01-29T12:21:46.240088,Warsteiner,1.8,F,,21.6,198.93
29,0.036978884,46,2018-01-29T12:21:46.240232,Bud Light,1.1,female,metric,390.0357799,232.6434843
30,0.182259271,24,2018-01-29T12:21:46.240401,Warsteiner,6.1,female,metric,2166.386146,274.5672081
31,0.015499207,50,2018-01-29T12:21:46.240572,vidka,0.5,M,,0.75,233.12
32,0.212287503,260,2018-01-29T12:21:46.240734,vidka,10.4,M,metric,461.134525,322.973579
33,0.201546537,23,2018-01-29T12:21:46.240893,Bud Light,5.3,female,,63.6,151.61
34,0.139910582,650,2018-01-29T12:21:46.241051,shots,3.7,female,SI,164.8567505,213.6014119
35,0.136424988,61,2018-01-29T12:21:46.241209,vidka,3.7,F,SI,165.0697489,228.5570661
36,0.172338701,26,2018-01-29T12:21:46.241377,Beer,7.4,meal,,88.8,198.67
37,0.004224795,56,2018-01-29T12:21:46.241534,Bud Light,0.4,M,,4.8,200.87
38,0.04008336,660,2018-01-29T12:21:46.241691,Merlot,1.4,Female,,7,178.42
39,0.112447392,743,2018-01-29T12:21:46.241835,Wine,2.8,female,,14,147.17
40,0.097562681,5/1/55,2018-01-29T12:21:46.241977,vidka,2.8,femeal,,4.2,161.1
41,0.095467011,556,2018-01-29T12:21:46.242135,Merlot,3.3,Male,metric,488.3116192,238.5470217
42,0.014112629,592,2018-01-29T12:21:46.242293,Vin,0.5,Female,,2.5,174.03
43,0.080863962,43,2018-01-29T12:21:46.242440,Warsteiner,2.3,F,,27.6,170.16
44,0.043930355,59,2018-01-29T12:21:46.242600,Vino,1.7,meal,SI,250.7702768,272.6288412
45,0.044459023,632,2018-01-29T12:21:46.242781,Bud Light,1.4,female,,16.8,171.49
46,0.121813589,272,2018-01-29T12:21:46.242931,shots,5.5,Male,metric,243.1570303,296.7466755
47,0.039144556,1/13/62,2018-01-29T12:21:46.243097,Bud Light,1.3,F,,15.6,155.99
48,0.13552721,1/3/61,2018-01-29T12:21:46.243257,shots,3.9,female,metric,171.8719383,232.3508165
49,0.125528426,498,2018-01-29T12:21:46.243427,vidka,3.6,F,metric,160.2298461,218.3182373
50,0.086606425,567,2018-01-29T12:21:46.243758,Beer,4.2,Male,,50.4,211.01
51,0.049654582,61,2018-01-29T12:21:46.243938,vidka,2.4,Male,SI,106.4125349,292.205327
52,0.168964031,323,2018-01-29T12:21:46.244129,Vin,5.6,femeal,metric,828.2758087,264.7135067
53,0.013946845,625,2018-01-29T12:21:46.244296,Scotch,0.5,meal,metric,21.20376052,339.5140596
54,0.143507117,51,2018-01-29T12:21:46.244458,Scotch,4.4,F,SI,195.8349852,241.7347644
55,0.144287541,3/6/87,2018-01-29T12:21:46.244632,IPA,5.7,M,SI,2024.709184,252.1081713
56,0.021719833,556,2018-01-29T12:21:46.244809,Scotch,0.5,Female,metric,23.83665626,275.5320126
57,0.100039354,431,2018-01-29T12:21:46.244968,Cab,3.5,male,,17.5,168.64
58,0.083335274,741,2018-01-29T12:21:46.245114,Bud Light,2.8,Female,,33.6,183.13
59,0.039612373,480,2018-01-29T12:21:46.245430,shots,1.9,male,metric,83.22050581,315.2891275
60,0.013914878,618,2018-01-29T12:21:46.245645,Cab,0.5,F,,2.5,173.69
61,0.047961546,31,2018-01-29T12:21:46.245809,IPA,2.4,Male,SI,853.119427,298.8499275
62,0.046581525,10/3/63,2018-01-29T12:21:46.245997,Franziskaner Weissbier,1.8,M,metric,641.3817238,286.0125229
63,0.025921414,388,2018-01-29T12:21:46.246176,IPA,0.8,femeal,,9.6,170.9
64,0.124562126,3/22/73,2018-01-29T12:21:46.246325,Wine,3.3,F,,16.5,142.35
65,0.120093819,28,2018-01-29T12:21:46.246490,Wine,3.5,F,,17.5,174.72
66,0.045937285,12/26/73,2018-01-29T12:21:46.246657,vidka,1.7,male,,2.55,191.5
67,0.168263887,8/31/84,2018-01-29T12:21:46.246820,whiskey,6.7,male,SI,296.7627682,262.6425819
68,0.073514126,45,2018-01-29T12:21:46.247004,Warsteiner,2.7,Male,metric,957.1938883,264.5090056
69,0.083413385,6/19/53,2018-01-29T12:21:46.247177,shots,2.7,F,,4.05,193.02
70,0.224137221,12/8/91,2018-01-29T12:21:46.247339,vidka,8.7,male,,13.05,177.58
71,0.094305093,11/14/68,2018-01-29T12:21:46.247501,whiskey,4.1,Male,,6.15,204.43
72,0.062970869,53,2018-01-29T12:21:46.247660,vidka,1.4,female,metric,61.67084012,220.0744142
73,0.15281442,443,2018-01-29T12:21:46.247842,Warsteiner,6.1,male,metric,2166.678956,275.2184909
74,0.18565629,34,2018-01-29T12:21:46.248002,vidka,6.6,meal,metric,293.4607867,226.9462917
75,0.121318777,737,2018-01-29T12:21:46.248174,shots,3.7,femeal,,5.55,168.82
76,0.047714393,628,2018-01-29T12:21:46.248329,whiskey,1.9,F,metric,82.56662984,293.9691677
77,0.06857998,51,2018-01-29T12:21:46.248487,Cab,2.4,F,metric,354.2672049,301.9361142
78,0.210989225,449,2018-01-29T12:21:46.248658,Wine,6,Female,SI,887.6234396,221.6085385
79,0.125660176,6/30/92,2018-01-29T12:21:46.248824,Cab,4.9,M,metric,726.0116744,264.5614953
80,0.203877767,5/7/92,2018-01-29T12:21:46.249005,Warsteiner,8.8,,,105.6,200.24
81,0.012399697,643,2018-01-29T12:21:46.249165,whiskey,0.9,M,,1.35,187.88
82,0.059844617,499,2018-01-29T12:21:46.249310,shots,2.4,meal,,3.6,178.68
83,0.061033723,631,2018-01-29T12:21:46.249553,vidka,2.9,,metric,127.7058757,300.3294913
84,0.057462017,568,2018-01-29T12:21:46.249900,shots,1.6,female,,2.4,176.02
85,0.383291959,269,2018-01-29T12:21:46.250988,Vin,10.1,Female,metric,1496.195788,215.1094588
86,0.198430079,31,2018-01-29T12:21:46.251602,Vin,5.5,femeal,metric,815.0823256,238.7252094
87,0.147392137,542,2018-01-29T12:21:46.252484,Vin,3.9,,SI,576.0386764,230.7305064
88,0.04182834,11/11/75,2018-01-29T12:21:46.253403,Cab,1.8,male,,9,174.67
89,0.218294674,375,2018-01-29T12:21:46.254992,Franziskaner Weissbier,5.6,femeal,metric,1988.672699,205.2756582
90,0.130447748,33,2018-01-29T12:21:46.256478,Cab,5.9,M,,29.5,199.07
91,0.051140858,10/14/58,2018-01-29T12:21:46.257544,shots,1.7,Male,SI,75.06854542,220.6902291
92,0.101025148,696,2018-01-29T12:21:46.257957,Scotch,2.6,female,,3.9,143.8
93,0.058572286,8/20/57,2018-01-29T12:21:46.258228,Scotch,1.7,femeal,SI,74.82555259,281.7915098
